event_id,timestamp,machine_id,operator_id,event_type,severity,risk_score,details,acknowledged
SE0027,2026-09-06 04:52:47,EXC013,OP038,Overheating,HIGH,74.5,Safety rule triggered: Overheating recorded on EXC013 during active shift.,False
SE0028,2026-09-05 22:02:47,DUM023,OP084,High Vibration,HIGH,72.4,Safety rule triggered: High Vibration recorded on DUM023 during active shift.,False
SE0029,2026-08-27 19:48:47,DUM011,OP054,High Vibration,HIGH,68.3,Safety rule triggered: High Vibration recorded on DUM011 during active shift.,True
SE0030,2026-08-28 02:27:47,GRA028,OP051,Proximity Hazard,CRITICAL,83.7,Safety rule triggered: Proximity Hazard recorded on GRA028 during active shift.,True
SE0031,2026-09-19 11:40:47,DOZ021,OP031,Overheating,HIGH,72.5,Safety rule triggered: Overheating recorded on DOZ021 during active shift.,True
SE0032,2026-09-11 18:46:47,COM030,OP061,High Vibration,HIGH,68.5,Safety rule triggered: High Vibration recorded on COM030 during active shift.,True
SE0033,2026-08-25 15:53:47,EXC001,OP066,Excessive Idling,MEDIUM,37.3,Safety rule triggered: Excessive Idling recorded on EXC001 during active shift.,True
SE0034,2026-08-29 14:28:47,GRA016,OP021,High Fatigue,HIGH,56.3,Safety rule triggered: High Fatigue recorded on GRA016 during active shift.,True
SE0035,2026-09-06 05:13:47,WHE050,OP079,Excessive Idling,MEDIUM,44.8,Safety rule triggered: Excessive Idling recorded on WHE050 during active shift.,True
SE0036,2026-09-14 04:21:47,COM042,OP033,High Vibration,HIGH,74.0,Safety rule triggered: High Vibration recorded on COM042 during active shift.,True
SE0037,2026-09-01 01:10:47,GRA028,OP077,High Vibration,HIGH,69.0,Safety rule triggered: High Vibration recorded on GRA028 during active shift.,False
SE0038,2026-09-23 02:15:47,DOZ003,OP046,Overheating,HIGH,72.5,Safety rule triggered: Overheating recorded on DOZ003 during active shift.,True
SE0039,2026-08-31 11:35:47,GRA004,OP047,High Fatigue,MEDIUM,71.9,Safety rule triggered: High Fatigue recorded on GRA004 during active shift.,True
SE0040,2026-09-14 22:59:47,COM012,OP069,Overheating,MEDIUM,69.5,Safety rule triggered: Overheating recorded on COM012 during active shift.,False
SE0041,2026-08-28 12:24:47,DUM011,OP094,Excessive Idling,MEDIUM,36.0,Safety rule triggered: Excessive Idling recorded on DUM011 during active shift.,False
SE0042,2026-09-15 06:48:47,COM030,OP026,Seatbelt Violation,HIGH,61.7,Safety rule triggered: Seatbelt Violation recorded on COM030 during active shift.,False
SE0043,2026-09-05 11:07:47,EXC049,OP026,Overheating,MEDIUM,70.0,Safety rule triggered: Overheating recorded on EXC049 during active shift.,True
SE0044,2026-09-15 19:57:47,COM030,OP058,High Vibration,HIGH,78.7,Safety rule triggered: High Vibration recorded on COM030 during active shift.,True
SE0045,2026-09-14 15:00:47,WHE038,OP041,Proximity Hazard,CRITICAL,81.2,Safety rule triggered: Proximity Hazard recorded on WHE038 during active shift.,False
SE0046,2026-09-02 12:31:47,EXC043,OP081,High Fatigue,HIGH,62.3,Safety rule triggered: High Fatigue recorded on EXC043 during active shift.,True
SE0047,2026-09-20 22:17:47,COM036,OP004,Proximity Hazard,CRITICAL,86.4,Safety rule triggered: Proximity Hazard recorded on COM036 during active shift.,False
SE0048,2026-09-12 08:55:47,GRA022,OP072,Proximity Hazard,CRITICAL,83.2,Safety rule triggered: Proximity Hazard recorded on GRA022 during active shift.,False
SE0049,2026-09-18 13:09:47,DOZ003,OP087,High Fatigue,MEDIUM,66.0,Safety rule triggered: High Fatigue recorded on DOZ003 during active shift.,True
SE0050,2026-09-14 00:57:47,DUM041,OP001,High Vibration,MEDIUM,64.2,Safety rule triggered: High Vibration recorded on DUM041 during active shift.,True
SE0051,2026-08-23 17:29:47,EXC043,OP024,Seatbelt Violation,MEDIUM,77.4,Safety rule triggered: Seatbelt Violation recorded on EXC043 during active shift.,True
SE0052,2026-09-13 04:56:47,WHE020,OP027,Seatbelt Violation,MEDIUM,70.7,Safety rule triggered: Seatbelt Violation recorded on WHE020 during active shift.,True
SE0053,2026-09-04 03:38:47,DOZ009,OP060,Seatbelt Violation,MEDIUM,69.8,Safety rule triggered: Seatbelt Violation recorded on DOZ009 during active shift.,True
SE0054,2026-09-02 04:44:47,WHE044,OP087,High Vibration,MEDIUM,70.3,Safety rule triggered: High Vibration recorded on WHE044 during active shift.,False
SE0055,2026-09-04 01:23:47,EXC049,OP063,Proximity Hazard,MEDIUM,76.3,Safety rule triggered: Proximity Hazard recorded on EXC049 during active shift.,True
SE0056,2026-08-31 09:15:47,COM006,OP093,Proximity Hazard,MEDIUM,80.0,Safety rule triggered: Proximity Hazard recorded on COM006 during active shift.,True
SE0057,2026-09-02 00:38:47,GRA010,OP031,Seatbelt Violation,HIGH,78.7,Safety rule triggered: Seatbelt Violation recorded on GRA010 during active shift.,True
SE0058,2026-08-27 06:59:47,WHE002,OP036,Overheating,HIGH,68.0,Safety rule triggered: Overheating recorded on WHE002 during active shift.,True
SE0059,2026-08-25 20:57:47,DUM023,OP024,Excessive Idling,MEDIUM,42.4,Safety rule triggered: Excessive Idling recorded on DUM023 during active shift.,True
SE0060,2026-09-09 13:37:47,GRA010,OP071,High Fatigue,HIGH,69.7,Safety rule triggered: High Fatigue recorded on GRA010 during active shift.,False
SE0061,2026-09-12 08:53:47,COM012,OP086,Excessive Idling,MEDIUM,54.7,Safety rule triggered: Excessive Idling recorded on COM012 during active shift.,True
SE0062,2026-09-11 19:45:47,GRA004,OP068,High Vibration,HIGH,80.0,Safety rule triggered: High Vibration recorded on GRA004 during active shift.,False
SE0063,2026-09-05 13:34:47,GRA034,OP025,Proximity Hazard,CRITICAL,94.0,Safety rule triggered: Proximity Hazard recorded on GRA034 during active shift.,False
SE0064,2026-09-13 09:56:47,DUM023,OP038,High Fatigue,HIGH,64.1,Safety rule triggered: High Fatigue recorded on DUM023 during active shift.,True
SE0065,2026-09-10 11:17:47,DUM041,OP097,High Fatigue,MEDIUM,66.3,Safety rule triggered: High Fatigue recorded on DUM041 during active shift.,True
SE0066,2026-09-05 04:45:47,DUM041,OP011,Overheating,HIGH,68.3,Safety rule triggered: Overheating recorded on DUM041 during active shift.,False
SE0067,2026-09-07 13:57:47,EXC007,OP011,High Fatigue,HIGH,58.6,Safety rule triggered: High Fatigue recorded on EXC007 during active shift.,False
SE0068,2026-09-12 13:19:47,DUM023,OP046,High Fatigue,HIGH,68.4,Safety rule triggered: High Fatigue recorded on DUM023 during active shift.,True
SE0069,2026-09-01 11:36:47,DOZ045,OP059,Proximity Hazard,CRITICAL,97.0,Safety rule triggered: Proximity Hazard recorded on DOZ045 during active shift.,True
SE0070,2026-09-17 18:07:47,DOZ009,OP061,Excessive Idling,MEDIUM,48.2,Safety rule triggered: Excessive Idling recorded on DOZ009 during active shift.,True
SE0071,2026-09-17 04:14:47,DOZ027,OP059,Seatbelt Violation,HIGH,64.7,Safety rule triggered: Seatbelt Violation recorded on DOZ027 during active shift.,True
SE0072,2026-09-20 07:53:47,DUM017,OP050,Excessive Idling,MEDIUM,44.1,Safety rule triggered: Excessive Idling recorded on DUM017 during active shift.,True
SE0073,2026-08-27 20:26:47,EXC043,OP041,Seatbelt Violation,MEDIUM,65.7,Safety rule triggered: Seatbelt Violation recorded on EXC043 during active shift.,False
SE0074,2026-08-31 06:59:47,GRA028,OP093,High Fatigue,HIGH,76.1,Safety rule triggered: High Fatigue recorded on GRA028 during active shift.,True
SE0075,2026-09-17 22:12:47,DUM017,OP013,Excessive Idling,MEDIUM,52.4,Safety rule triggered: Excessive Idling recorded on DUM017 during active shift.,False
SE0076,2026-09-07 08:38:47,DOZ033,OP033,Seatbelt Violation,HIGH,61.5,Safety rule triggered: Seatbelt Violation recorded on DOZ033 during active shift.,True
SE0077,2026-09-11 07:13:47,COM042,OP057,Overheating,MEDIUM,91.8,Safety rule triggered: Overheating recorded on COM042 during active shift.,True
SE0078,2026-08-25 10:39:47,WHE038,OP080,Seatbelt Violation,HIGH,75.5,Safety rule triggered: Seatbelt Violation recorded on WHE038 during active shift.,True
SE0079,2026-09-20 16:05:47,EXC037,OP030,Excessive Idling,MEDIUM,46.6,Safety rule triggered: Excessive Idling recorded on EXC037 during active shift.,False
SE0080,2026-08-29 04:39:47,GRA016,OP003,Excessive Idling,MEDIUM,40.3,Safety rule triggered: Excessive Idling recorded on GRA016 during active shift.,True
SE0081,2026-08-24 10:09:47,DOZ039,OP044,Overheating,HIGH,73.1,Safety rule triggered: Overheating recorded on DOZ039 during active shift.,True
SE0082,2026-08-24 10:39:47,COM048,OP064,Excessive Idling,MEDIUM,45.4,Safety rule triggered: Excessive Idling recorded on COM048 during active shift.,False
SE0083,2026-09-01 01:25:47,GRA022,OP005,High Fatigue,HIGH,64.5,Safety rule triggered: High Fatigue recorded on GRA022 during active shift.,False
SE0084,2026-09-06 07:48:47,GRA040,OP076,High Vibration,MEDIUM,72.4,Safety rule triggered: High Vibration recorded on GRA040 during active shift.,True
SE0085,2026-08-30 22:23:47,WHE044,OP091,Proximity Hazard,CRITICAL,85.3,Safety rule triggered: Proximity Hazard recorded on WHE044 during active shift.,True
SE0086,2026-08-29 09:16:47,DOZ015,OP087,Excessive Idling,MEDIUM,42.7,Safety rule triggered: Excessive Idling recorded on DOZ015 during active shift.,True
SE0087,2026-09-15 04:51:47,EXC049,OP028,Proximity Hazard,CRITICAL,79.4,Safety rule triggered: Proximity Hazard recorded on EXC049 during active shift.,True
SE0088,2026-08-24 11:22:47,COM036,OP068,Overheating,HIGH,64.6,Safety rule triggered: Overheating recorded on COM036 during active shift.,True
SE0089,2026-08-27 09:35:47,DOZ033,OP045,High Fatigue,HIGH,66.7,Safety rule triggered: High Fatigue recorded on DOZ033 during active shift.,False
SE0090,2026-09-19 10:43:47,EXC019,OP084,High Vibration,HIGH,66.5,Safety rule triggered: High Vibration recorded on EXC019 during active shift.,True
SE0091,2026-08-28 04:24:47,COM024,OP078,Proximity Hazard,CRITICAL,85.8,Safety rule triggered: Proximity Hazard recorded on COM024 during active shift.,False
SE0092,2026-09-21 13:29:47,WHE020,OP047,Excessive Idling,MEDIUM,40.1,Safety rule triggered: Excessive Idling recorded on WHE020 during active shift.,False
SE0093,2026-08-29 04:34:47,COM036,OP023,Proximity Hazard,CRITICAL,86.2,Safety rule triggered: Proximity Hazard recorded on COM036 during active shift.,True
SE0094,2026-09-18 20:35:47,GRA016,OP033,Seatbelt Violation,HIGH,70.6,Safety rule triggered: Seatbelt Violation recorded on GRA016 during active shift.,True
SE0095,2026-09-08 23:45:47,WHE050,OP048,High Fatigue,HIGH,65.2,Safety rule triggered: High Fatigue recorded on WHE050 during active shift.,False
SE0096,2026-09-04 10:30:47,COM012,OP078,Excessive Idling,MEDIUM,38.7,Safety rule triggered: Excessive Idling recorded on COM012 during active shift.,True
SE0097,2026-09-13 16:31:47,GRA046,OP043,Seatbelt Violation,HIGH,70.9,Safety rule triggered: Seatbelt Violation recorded on GRA046 during active shift.,True
SE0098,2026-09-03 03:51:47,COM048,OP037,Seatbelt Violation,HIGH,58.0,Safety rule triggered: Seatbelt Violation recorded on COM048 during active shift.,False
SE0099,2026-08-27 05:45:47,COM006,OP067,Proximity Hazard,MEDIUM,85.5,Safety rule triggered: Proximity Hazard recorded on COM006 during active shift.,True
SE0100,2026-09-09 15:41:47,WHE020,OP032,High Vibration,HIGH,80.2,Safety rule triggered: High Vibration recorded on WHE020 during active shift.,True
SE0101,2026-08-26 11:22:47,DOZ015,OP011,High Fatigue,HIGH,61.2,Safety rule triggered: High Fatigue recorded on DOZ015 during active shift.,True
SE0102,2026-09-01 16:42:47,COM042,OP021,High Vibration,HIGH,72.7,Safety rule triggered: High Vibration recorded on COM042 during active shift.,False
SE0103,2026-09-01 14:45:47,EXC031,OP016,Excessive Idling,MEDIUM,50.3,Safety rule triggered: Excessive Idling recorded on EXC031 during active shift.,True
SE0104,2026-09-10 07:39:47,DOZ021,OP003,Seatbelt Violation,HIGH,70.9,Safety rule triggered: Seatbelt Violation recorded on DOZ021 during active shift.,False
SE0105,2026-08-23 13:42:47,WHE038,OP015,High Vibration,MEDIUM,81.3,Safety rule triggered: High Vibration recorded on WHE038 during active shift.,True
SE0106,2026-09-11 01:05:47,DOZ039,OP017,Excessive Idling,MEDIUM,48.4,Safety rule triggered: Excessive Idling recorded on DOZ039 during active shift.,True
SE0107,2026-08-27 07:09:47,DUM029,OP028,Seatbelt Violation,HIGH,79.5,Safety rule triggered: Seatbelt Violation recorded on DUM029 during active shift.,True
SE0108,2026-09-18 13:17:47,WHE008,OP055,Overheating,MEDIUM,81.4,Safety rule triggered: Overheating recorded on WHE008 during active shift.,False
SE0109,2026-09-21 19:29:47,COM006,OP096,Overheating,HIGH,81.8,Safety rule triggered: Overheating recorded on COM006 during active shift.,True
SE0110,2026-09-19 07:20:47,DOZ015,OP080,Excessive Idling,MEDIUM,54.9,Safety rule triggered: Excessive Idling recorded on DOZ015 during active shift.,True
SE0111,2026-09-15 23:07:47,WHE038,OP071,Seatbelt Violation,HIGH,69.0,Safety rule triggered: Seatbelt Violation recorded on WHE038 during active shift.,False
SE0112,2026-09-09 05:14:47,DUM005,OP042,Overheating,HIGH,74.3,Safety rule triggered: Overheating recorded on DUM005 during active shift.,True
SE0113,2026-08-29 20:09:47,COM030,OP056,High Vibration,HIGH,79.7,Safety rule triggered: High Vibration recorded on COM030 during active shift.,True
SE0114,2026-09-12 08:00:47,WHE050,OP004,Seatbelt Violation,HIGH,73.3,Safety rule triggered: Seatbelt Violation recorded on WHE050 during active shift.,True
SE0115,2026-09-08 20:02:47,DOZ033,OP088,Overheating,HIGH,72.6,Safety rule triggered: Overheating recorded on DOZ033 during active shift.,False
SE0116,2026-09-14 00:51:47,DUM029,OP083,Seatbelt Violation,HIGH,69.5,Safety rule triggered: Seatbelt Violation recorded on DUM029 during active shift.,True
SE0117,2026-08-28 09:55:47,COM048,OP080,Overheating,HIGH,76.9,Safety rule triggered: Overheating recorded on COM048 during active shift.,True
SE0118,2026-09-15 03:19:47,EXC013,OP008,High Fatigue,MEDIUM,60.4,Safety rule triggered: High Fatigue recorded on EXC013 during active shift.,True
SE0119,2026-08-29 06:37:47,GRA004,OP002,High Fatigue,HIGH,64.9,Safety rule triggered: High Fatigue recorded on GRA004 during active shift.,False
SE0120,2026-09-02 23:48:47,DOZ009,OP100,Seatbelt Violation,HIGH,70.8,Safety rule triggered: Seatbelt Violation recorded on DOZ009 during active shift.,True
SE0121,2026-09-05 19:48:47,GRA034,OP032,High Vibration,HIGH,71.6,Safety rule triggered: High Vibration recorded on GRA034 during active shift.,True
SE0122,2026-08-26 05:24:47,GRA040,OP005,Overheating,HIGH,77.9,Safety rule triggered: Overheating recorded on GRA040 during active shift.,True
SE0123,2026-09-12 10:47:47,WHE020,OP082,High Vibration,HIGH,69.8,Safety rule triggered: High Vibration recorded on WHE020 during active shift.,False
SE0124,2026-09-06 23:02:47,DOZ039,OP041,Proximity Hazard,CRITICAL,80.3,Safety rule triggered: Proximity Hazard recorded on DOZ039 during active shift.,True
SE0125,2026-09-22 04:34:47,EXC049,OP051,Excessive Idling,MEDIUM,47.7,Safety rule triggered: Excessive Idling recorded on EXC049 during active shift.,True
SE0126,2026-09-15 12:23:47,WHE050,OP007,High Vibration,HIGH,69.3,Safety rule triggered: High Vibration recorded on WHE050 during active shift.,True
SE0127,2026-08-29 05:39:47,WHE050,OP093,Overheating,HIGH,80.7,Safety rule triggered: Overheating recorded on WHE050 during active shift.,False
SE0128,2026-08-31 21:00:47,DOZ027,OP088,High Fatigue,HIGH,61.5,Safety rule triggered: High Fatigue recorded on DOZ027 during active shift.,False
SE0129,2026-09-03 10:20:47,DUM023,OP039,High Vibration,HIGH,71.1,Safety rule triggered: High Vibration recorded on DUM023 during active shift.,True
SE0130,2026-09-19 04:29:47,GRA046,OP093,Overheating,HIGH,78.5,Safety rule triggered: Overheating recorded on GRA046 during active shift.,True
SE0131,2026-09-20 11:09:47,DUM035,OP065,Excessive Idling,MEDIUM,49.5,Safety rule triggered: Excessive Idling recorded on DUM035 during active shift.,True
SE0132,2026-09-02 08:10:47,GRA016,OP071,Seatbelt Violation,HIGH,70.0,Safety rule triggered: Seatbelt Violation recorded on GRA016 during active shift.,False
SE0133,2026-09-22 01:58:47,COM012,OP010,Excessive Idling,MEDIUM,46.0,Safety rule triggered: Excessive Idling recorded on COM012 during active shift.,False
SE0134,2026-09-14 23:52:47,GRA016,OP032,Seatbelt Violation,HIGH,80.2,Safety rule triggered: Seatbelt Violation recorded on GRA016 during active shift.,False
SE0135,2026-09-14 07:13:47,EXC007,OP070,Seatbelt Violation,HIGH,65.8,Safety rule triggered: Seatbelt Violation recorded on EXC007 during active shift.,True
SE0136,2026-09-15 18:24:47,EXC001,OP013,Proximity Hazard,MEDIUM,86.8,Safety rule triggered: Proximity Hazard recorded on EXC001 during active shift.,True
SE0137,2026-09-12 04:37:47,COM036,OP022,High Vibration,HIGH,69.1,Safety rule triggered: High Vibration recorded on COM036 during active shift.,True
SE0138,2026-09-06 05:57:47,DOZ003,OP099,Proximity Hazard,CRITICAL,81.2,Safety rule triggered: Proximity Hazard recorded on DOZ003 during active shift.,False
SE0139,2026-08-25 13:44:47,DUM047,OP010,High Vibration,HIGH,73.5,Safety rule triggered: High Vibration recorded on DUM047 during active shift.,False
SE0140,2026-08-30 14:56:47,GRA034,OP016,Excessive Idling,MEDIUM,46.6,Safety rule triggered: Excessive Idling recorded on GRA034 during active shift.,True
SE0141,2026-08-28 12:22:47,DOZ015,OP054,Excessive Idling,MEDIUM,41.3,Safety rule triggered: Excessive Idling recorded on DOZ015 during active shift.,True
SE0142,2026-09-01 13:53:47,DUM035,OP073,Proximity Hazard,CRITICAL,77.0,Safety rule triggered: Proximity Hazard recorded on DUM035 during active shift.,False
SE0143,2026-08-23 20:20:47,COM006,OP084,High Vibration,HIGH,74.6,Safety rule triggered: High Vibration recorded on COM006 during active shift.,True
SE0144,2026-09-04 12:15:47,COM048,OP049,Proximity Hazard,CRITICAL,86.9,Safety rule triggered: Proximity Hazard recorded on COM048 during active shift.,True
SE0145,2026-09-05 02:13:47,COM048,OP066,Excessive Idling,MEDIUM,44.6,Safety rule triggered: Excessive Idling recorded on COM048 during active shift.,True
SE0146,2026-09-08 06:23:47,WHE032,OP055,High Vibration,MEDIUM,78.4,Safety rule triggered: High Vibration recorded on WHE032 during active shift.,True
SE0147,2026-09-12 08:15:47,DOZ003,OP003,Seatbelt Violation,HIGH,72.1,Safety rule triggered: Seatbelt Violation recorded on DOZ003 during active shift.,False
SE0148,2026-09-01 09:16:47,DUM017,OP090,Seatbelt Violation,HIGH,71.6,Safety rule triggered: Seatbelt Violation recorded on DUM017 during active shift.,True
SE0149,2026-09-09 08:47:47,EXC031,OP002,Seatbelt Violation,HIGH,66.3,Safety rule triggered: Seatbelt Violation recorded on EXC031 during active shift.,False
SE0150,2026-09-06 00:13:47,GRA016,OP035,Excessive Idling,MEDIUM,44.6,Safety rule triggered: Excessive Idling recorded on GRA016 during active shift.,True
SE0151,2026-09-05 15:58:47,COM042,OP086,Seatbelt Violation,MEDIUM,69.8,Safety rule triggered: Seatbelt Violation recorded on COM042 during active shift.,False
SE0152,2026-09-16 21:01:47,EXC007,OP024,High Fatigue,HIGH,71.1,Safety rule triggered: High Fatigue recorded on EXC007 during active shift.,True
SE0153,2026-09-21 08:55:47,GRA034,OP048,Seatbelt Violation,MEDIUM,68.7,Safety rule triggered: Seatbelt Violation recorded on GRA034 during active shift.,True
SE0154,2026-09-04 03:38:47,EXC049,OP011,Overheating,MEDIUM,84.5,Safety rule triggered: Overheating recorded on EXC049 during active shift.,True
SE0155,2026-09-15 00:16:47,WHE020,OP047,High Vibration,MEDIUM,68.6,Safety rule triggered: High Vibration recorded on WHE020 during active shift.,False
SE0156,2026-09-18 15:37:47,DOZ039,OP061,Excessive Idling,MEDIUM,41.8,Safety rule triggered: Excessive Idling recorded on DOZ039 during active shift.,True
SE0157,2026-09-11 08:45:47,DUM023,OP044,Excessive Idling,MEDIUM,41.7,Safety rule triggered: Excessive Idling recorded on DUM023 during active shift.,True
SE0158,2026-09-09 19:40:47,COM012,OP059,Overheating,HIGH,84.8,Safety rule triggered: Overheating recorded on COM012 during active shift.,True
SE0159,2026-09-08 13:19:47,GRA016,OP057,Seatbelt Violation,HIGH,74.6,Safety rule triggered: Seatbelt Violation recorded on GRA016 during active shift.,True
SE0160,2026-09-01 19:34:47,DOZ045,OP097,Seatbelt Violation,HIGH,69.5,Safety rule triggered: Seatbelt Violation recorded on DOZ045 during active shift.,True
SE0161,2026-09-18 22:09:47,DOZ027,OP097,Overheating,MEDIUM,69.9,Safety rule triggered: Overheating recorded on DOZ027 during active shift.,True
SE0162,2026-09-11 09:02:47,WHE038,OP046,Proximity Hazard,CRITICAL,80.9,Safety rule triggered: Proximity Hazard recorded on WHE038 during active shift.,True
SE0163,2026-08-29 23:39:47,COM048,OP052,Proximity Hazard,CRITICAL,79.0,Safety rule triggered: Proximity Hazard recorded on COM048 during active shift.,True
SE0164,2026-08-24 11:49:47,DUM035,OP029,Excessive Idling,MEDIUM,41.5,Safety rule triggered: Excessive Idling recorded on DUM035 during active shift.,False
SE0165,2026-09-16 21:01:47,COM024,OP064,High Fatigue,MEDIUM,64.6,Safety rule triggered: High Fatigue recorded on COM024 during active shift.,False
SE0166,2026-08-26 18:46:47,EXC013,OP070,Seatbelt Violation,HIGH,65.7,Safety rule triggered: Seatbelt Violation recorded on EXC013 during active shift.,True
SE0167,2026-08-28 11:05:47,COM048,OP037,Excessive Idling,MEDIUM,48.6,Safety rule triggered: Excessive Idling recorded on COM048 during active shift.,False
SE0168,2026-09-16 13:13:47,DUM047,OP018,Proximity Hazard,CRITICAL,82.3,Safety rule triggered: Proximity Hazard recorded on DUM047 during active shift.,True
SE0169,2026-08-24 02:49:47,GRA046,OP098,High Vibration,MEDIUM,68.1,Safety rule triggered: High Vibration recorded on GRA046 during active shift.,True
SE0170,2026-09-14 02:32:47,EXC025,OP009,High Vibration,MEDIUM,68.8,Safety rule triggered: High Vibration recorded on EXC025 during active shift.,False
SE0171,2026-09-07 22:12:47,EXC025,OP023,Excessive Idling,MEDIUM,50.7,Safety rule triggered: Excessive Idling recorded on EXC025 during active shift.,True
SE0172,2026-09-23 02:33:47,DUM047,OP028,Proximity Hazard,CRITICAL,89.9,Safety rule triggered: Proximity Hazard recorded on DUM047 during active shift.,True
SE0173,2026-08-28 21:04:47,WHE008,OP010,High Vibration,HIGH,73.0,Safety rule triggered: High Vibration recorded on WHE008 during active shift.,True
SE0174,2026-09-02 02:30:47,WHE050,OP013,Excessive Idling,MEDIUM,46.5,Safety rule triggered: Excessive Idling recorded on WHE050 during active shift.,True
SE0175,2026-09-19 23:53:47,DUM041,OP086,Proximity Hazard,MEDIUM,85.1,Safety rule triggered: Proximity Hazard recorded on DUM041 during active shift.,False
SE0176,2026-09-16 08:50:47,EXC019,OP066,Proximity Hazard,CRITICAL,93.0,Safety rule triggered: Proximity Hazard recorded on EXC019 during active shift.,False
SE0177,2026-08-30 22:17:47,WHE026,OP069,Overheating,HIGH,77.1,Safety rule triggered: Overheating recorded on WHE026 during active shift.,False
SE0178,2026-09-08 11:45:47,DOZ027,OP034,Proximity Hazard,MEDIUM,95.1,Safety rule triggered: Proximity Hazard recorded on DOZ027 during active shift.,False
SE0179,2026-09-10 18:17:47,EXC025,OP041,High Fatigue,HIGH,64.6,Safety rule triggered: High Fatigue recorded on EXC025 during active shift.,True
SE0180,2026-09-06 20:11:47,EXC025,OP076,Overheating,HIGH,73.6,Safety rule triggered: Overheating recorded on EXC025 during active shift.,False
