progress_id,operator_id,course_id,completion_status,score,attempts,completed_at
PRG0225,OP057,TRN001,Not Started,0.0,0,
PRG0226,OP001,TRN003,In Progress,0.0,1,
PRG0227,OP072,TRN006,Completed,95.7,1,2026-08-23 12:45:47
PRG0228,OP030,TRN003,Not Started,0.0,0,
PRG0229,OP078,TRN002,Completed,85.9,1,2026-07-28 12:45:47
PRG0230,OP092,TRN001,Not Started,0.0,0,
PRG0231,OP018,TRN003,Completed,95.1,1,2026-08-28 12:45:47
PRG0232,OP090,TRN005,Completed,99.6,1,2026-07-25 12:45:47
PRG0233,OP048,TRN003,Not Started,0.0,0,
PRG0234,OP039,TRN004,Completed,80.4,1,2026-08-01 12:45:47
PRG0235,OP076,TRN005,Not Started,0.0,0,
PRG0236,OP002,TRN001,In Progress,0.0,1,
PRG0237,OP085,TRN006,In Progress,0.0,1,
PRG0238,OP047,TRN004,Completed,83.3,1,2026-07-30 12:45:47
PRG0239,OP030,TRN005,Completed,93.7,1,2026-09-06 12:45:47
PRG0240,OP085,TRN002,Not Started,0.0,0,
PRG0241,OP090,TRN001,Not Started,0.0,0,
PRG0242,OP051,TRN006,Completed,84.1,1,2026-08-30 12:45:47
PRG0243,OP042,TRN002,Completed,78.0,1,2026-09-01 12:45:47
PRG0244,OP004,TRN005,Completed,85.7,1,2026-08-29 12:45:47
PRG0245,OP007,TRN001,Completed,91.6,1,2026-08-11 12:45:47
PRG0246,OP011,TRN001,Completed,78.9,1,2026-09-17 12:45:47
PRG0247,OP042,TRN004,Completed,98.2,1,2026-08-27 12:45:47
PRG0248,OP010,TRN005,Not Started,0.0,0,
PRG0249,OP025,TRN005,In Progress,0.0,1,
PRG0250,OP033,TRN006,Completed,76.2,1,2026-09-14 12:45:47
PRG0251,OP012,TRN002,Completed,75.4,1,2026-09-19 12:45:47
PRG0252,OP087,TRN006,Completed,98.1,1,2026-08-12 12:45:47
PRG0253,OP098,TRN002,In Progress,0.0,1,
PRG0254,OP086,TRN004,Completed,76.4,1,2026-08-05 12:45:47
PRG0255,OP088,TRN006,Not Started,0.0,0,
PRG0256,OP062,TRN002,Completed,99.2,1,2026-08-10 12:45:47
PRG0257,OP028,TRN001,Completed,88.0,1,2026-09-06 12:45:47
PRG0258,OP086,TRN003,Completed,85.2,1,2026-08-22 12:45:47
PRG0259,OP087,TRN004,Completed,94.3,1,2026-08-13 12:45:47
PRG0260,OP053,TRN003,In Progress,0.0,1,
PRG0261,OP093,TRN004,Completed,84.5,1,2026-08-15 12:45:47
PRG0262,OP018,TRN002,Completed,75.3,1,2026-08-04 12:45:47
PRG0263,OP068,TRN005,Completed,76.7,1,2026-07-28 12:45:47
PRG0264,OP018,TRN001,Not Started,0.0,0,
PRG0265,OP028,TRN001,Not Started,0.0,0,
PRG0266,OP037,TRN001,Not Started,0.0,0,
PRG0267,OP050,TRN001,Completed,96.4,1,2026-07-31 12:45:47
PRG0268,OP004,TRN002,Completed,86.6,1,2026-08-27 12:45:47
PRG0269,OP034,TRN001,Not Started,0.0,0,
PRG0270,OP078,TRN002,Not Started,0.0,0,
PRG0271,OP065,TRN002,In Progress,0.0,1,
PRG0272,OP081,TRN005,Completed,79.4,1,2026-08-27 12:45:47
PRG0273,OP060,TRN004,In Progress,0.0,1,
PRG0274,OP002,TRN002,Completed,82.6,1,2026-09-08 12:45:47
PRG0275,OP074,TRN006,Completed,87.5,1,2026-08-08 12:45:47
PRG0276,OP074,TRN006,Completed,97.2,1,2026-08-11 12:45:47
PRG0277,OP023,TRN003,Completed,77.7,1,2026-08-03 12:45:47
PRG0278,OP069,TRN002,Not Started,0.0,0,
PRG0279,OP059,TRN001,Completed,86.0,1,2026-08-29 12:45:47
PRG0280,OP078,TRN002,Not Started,0.0,0,
PRG0281,OP075,TRN003,In Progress,0.0,1,
PRG0282,OP022,TRN002,In Progress,0.0,1,
PRG0283,OP024,TRN005,Not Started,0.0,0,
PRG0284,OP098,TRN003,In Progress,0.0,1,
PRG0285,OP039,TRN006,In Progress,0.0,1,
PRG0286,OP098,TRN002,Not Started,0.0,0,
PRG0287,OP099,TRN006,Not Started,0.0,0,
PRG0288,OP065,TRN001,Completed,77.2,1,2026-09-18 12:45:47
PRG0289,OP040,TRN002,Completed,87.2,1,2026-09-20 12:45:47
PRG0290,OP055,TRN003,Completed,89.2,1,2026-08-15 12:45:47
PRG0291,OP091,TRN005,Completed,87.1,1,2026-09-02 12:45:47
PRG0292,OP072,TRN004,Not Started,0.0,0,
PRG0293,OP011,TRN003,In Progress,0.0,1,
PRG0294,OP090,TRN003,Completed,91.5,1,2026-08-04 12:45:47
PRG0295,OP082,TRN004,Completed,98.4,1,2026-08-04 12:45:47
PRG0296,OP062,TRN005,Not Started,0.0,0,
PRG0297,OP079,TRN001,Completed,98.6,1,2026-07-25 12:45:47
PRG0298,OP046,TRN005,Completed,97.3,1,2026-08-09 12:45:47
PRG0299,OP020,TRN001,In Progress,0.0,1,
PRG0300,OP050,TRN002,Not Started,0.0,0,
PRG0301,OP022,TRN001,Not Started,0.0,0,
PRG0302,OP023,TRN006,Not Started,0.0,0,
PRG0303,OP051,TRN006,Completed,98.8,1,2026-09-09 12:45:47
PRG0304,OP019,TRN002,In Progress,0.0,1,
PRG0305,OP066,TRN003,Completed,75.8,1,2026-08-19 12:45:47
PRG0306,OP001,TRN002,In Progress,0.0,1,
PRG0307,OP045,TRN006,Not Started,0.0,0,
PRG0308,OP060,TRN002,Not Started,0.0,0,
PRG0309,OP074,TRN002,In Progress,0.0,1,
PRG0310,OP063,TRN005,In Progress,0.0,1,
PRG0311,OP098,TRN003,Completed,78.8,1,2026-08-17 12:45:47
PRG0312,OP083,TRN002,In Progress,0.0,1,
PRG0313,OP093,TRN004,In Progress,0.0,1,
PRG0314,OP088,TRN001,Completed,85.9,1,2026-09-18 12:45:47
PRG0315,OP062,TRN006,Completed,76.2,1,2026-08-28 12:45:47
PRG0316,OP059,TRN001,Completed,99.8,1,2026-08-08 12:45:47
PRG0317,OP068,TRN004,Completed,76.0,1,2026-08-31 12:45:47
PRG0318,OP051,TRN006,Not Started,0.0,0,
PRG0319,OP056,TRN001,Completed,81.1,1,2026-09-12 12:45:47
PRG0320,OP047,TRN005,In Progress,0.0,1,
PRG0321,OP094,TRN002,Completed,88.9,1,2026-09-09 12:45:47
PRG0322,OP004,TRN001,Completed,99.2,1,2026-08-30 12:45:47
PRG0323,OP051,TRN002,Completed,99.2,1,2026-08-06 12:45:47
PRG0324,OP066,TRN006,Completed,84.4,1,2026-08-17 12:45:47
PRG0325,OP022,TRN006,In Progress,0.0,1,
PRG0326,OP082,TRN005,Completed,78.3,1,2026-08-21 12:45:47
PRG0327,OP060,TRN002,Completed,97.5,1,2026-08-02 12:45:47
PRG0328,OP015,TRN001,Not Started,0.0,0,
PRG0329,OP088,TRN006,Completed,94.5,1,2026-09-17 12:45:47
PRG0330,OP022,TRN006,Not Started,0.0,0,
PRG0331,OP030,TRN006,Not Started,0.0,0,
PRG0332,OP046,TRN003,In Progress,0.0,1,
PRG0333,OP020,TRN002,Completed,81.6,1,2026-08-23 12:45:47
PRG0334,OP018,TRN001,Completed,79.0,1,2026-08-14 12:45:47
PRG0335,OP058,TRN001,In Progress,0.0,1,
PRG0336,OP018,TRN005,Not Started,0.0,0,
PRG0337,OP033,TRN006,Completed,90.8,1,2026-08-26 12:45:47
PRG0338,OP088,TRN006,Completed,93.9,1,2026-08-22 12:45:47
PRG0339,OP079,TRN006,Not Started,0.0,0,
PRG0340,OP098,TRN002,Not Started,0.0,0,
PRG0341,OP042,TRN001,Completed,96.3,1,2026-08-14 12:45:47
PRG0342,OP094,TRN006,In Progress,0.0,1,
PRG0343,OP046,TRN003,Completed,85.9,1,2026-08-10 12:45:47
PRG0344,OP091,TRN001,Completed,92.8,1,2026-08-30 12:45:47
PRG0345,OP011,TRN001,Completed,84.1,1,2026-08-14 12:45:47
PRG0346,OP039,TRN006,In Progress,0.0,1,
PRG0347,OP091,TRN002,Completed,95.3,1,2026-08-26 12:45:47
PRG0348,OP023,TRN002,Completed,92.0,1,2026-09-22 12:45:47
PRG0349,OP027,TRN004,Completed,78.5,1,2026-08-25 12:45:47
PRG0350,OP018,TRN002,Completed,75.4,1,2026-09-02 12:45:47
PRG0351,OP005,TRN002,Completed,92.9,1,2026-09-22 12:45:47
PRG0352,OP091,TRN002,In Progress,0.0,1,
PRG0353,OP088,TRN002,In Progress,0.0,1,
PRG0354,OP026,TRN004,In Progress,0.0,1,
PRG0355,OP027,TRN005,Completed,94.9,1,2026-08-26 12:45:47
PRG0356,OP099,TRN005,Completed,91.4,1,2026-07-30 12:45:47
PRG0357,OP072,TRN001,Completed,81.9,1,2026-07-29 12:45:47
PRG0358,OP054,TRN006,Not Started,0.0,0,
PRG0359,OP029,TRN001,Not Started,0.0,0,
PRG0360,OP055,TRN005,Not Started,0.0,0,
PRG0361,OP072,TRN004,In Progress,0.0,1,
PRG0362,OP002,TRN002,Completed,75.9,1,2026-07-30 12:45:47
PRG0363,OP001,TRN003,In Progress,0.0,1,
PRG0364,OP036,TRN003,Completed,82.8,1,2026-09-21 12:45:47
PRG0365,OP050,TRN001,Not Started,0.0,0,
PRG0366,OP051,TRN003,Not Started,0.0,0,
PRG0367,OP001,TRN001,In Progress,0.0,1,
PRG0368,OP038,TRN006,In Progress,0.0,1,
PRG0369,OP071,TRN001,Completed,80.3,1,2026-09-01 12:45:47
PRG0370,OP094,TRN006,Completed,77.8,1,2026-08-22 12:45:47
PRG0371,OP053,TRN003,Completed,98.4,1,2026-08-16 12:45:47
PRG0372,OP053,TRN006,Completed,97.3,1,2026-08-20 12:45:47
PRG0373,OP001,TRN005,Completed,94.2,1,2026-09-04 12:45:47
PRG0374,OP013,TRN001,In Progress,0.0,1,
PRG0375,OP001,TRN003,Completed,89.2,1,2026-08-12 12:45:47
PRG0376,OP079,TRN004,Not Started,0.0,0,
PRG0377,OP013,TRN006,Completed,76.6,1,2026-09-15 12:45:47
PRG0378,OP043,TRN002,In Progress,0.0,1,
PRG0379,OP048,TRN002,Completed,89.7,1,2026-08-09 12:45:47
PRG0380,OP021,TRN002,Completed,91.3,1,2026-09-02 12:45:47
PRG0381,OP065,TRN005,Completed,87.3,1,2026-08-24 12:45:47
PRG0382,OP083,TRN004,In Progress,0.0,1,
PRG0383,OP031,TRN003,In Progress,0.0,1,
PRG0384,OP095,TRN001,In Progress,0.0,1,
PRG0385,OP064,TRN004,Completed,82.4,1,2026-09-01 12:45:47
PRG0386,OP096,TRN006,Completed,97.9,1,2026-08-15 12:45:47
PRG0387,OP047,TRN001,Completed,82.0,1,2026-09-17 12:45:47
PRG0388,OP015,TRN003,Completed,79.4,1,2026-08-01 12:45:47
PRG0389,OP042,TRN003,Not Started,0.0,0,
PRG0390,OP024,TRN004,Not Started,0.0,0,
PRG0391,OP091,TRN005,Completed,82.4,1,2026-08-28 12:45:47
PRG0392,OP006,TRN002,Completed,78.0,1,2026-08-25 12:45:47
PRG0393,OP036,TRN005,Completed,76.8,1,2026-09-07 12:45:47
PRG0394,OP003,TRN003,In Progress,0.0,1,
PRG0395,OP069,TRN005,Completed,84.5,1,2026-08-08 12:45:47
PRG0396,OP098,TRN005,Not Started,0.0,0,
PRG0397,OP016,TRN005,Not Started,0.0,0,
PRG0398,OP009,TRN003,Completed,85.3,1,2026-09-11 12:45:47
PRG0399,OP078,TRN002,In Progress,0.0,1,
PRG0400,OP090,TRN003,In Progress,0.0,1,
PRG0401,OP085,TRN006,In Progress,0.0,1,
PRG0402,OP077,TRN002,Completed,76.0,1,2026-09-02 12:45:47
PRG0403,OP095,TRN003,Not Started,0.0,0,
PRG0404,OP057,TRN003,Not Started,0.0,0,
PRG0405,OP064,TRN005,Completed,85.3,1,2026-09-16 12:45:47
PRG0406,OP088,TRN002,Not Started,0.0,0,
PRG0407,OP076,TRN005,Completed,92.0,1,2026-09-21 12:45:47
PRG0408,OP091,TRN003,In Progress,0.0,1,
PRG0409,OP060,TRN004,Completed,95.4,1,2026-08-25 12:45:47
PRG0410,OP033,TRN003,Completed,82.7,1,2026-09-17 12:45:47
PRG0411,OP050,TRN001,In Progress,0.0,1,
PRG0412,OP068,TRN005,Not Started,0.0,0,
PRG0413,OP005,TRN001,In Progress,0.0,1,
PRG0414,OP085,TRN002,Completed,88.5,1,2026-09-15 12:45:47
PRG0415,OP100,TRN002,Completed,94.2,1,2026-08-29 12:45:47
PRG0416,OP091,TRN005,Not Started,0.0,0,
PRG0417,OP008,TRN001,Completed,89.9,1,2026-09-05 12:45:47
PRG0418,OP059,TRN004,Completed,85.9,1,2026-09-14 12:45:47
PRG0419,OP086,TRN005,Completed,95.5,1,2026-09-22 12:45:47
PRG0420,OP088,TRN004,In Progress,0.0,1,
PRG0421,OP050,TRN001,Completed,86.9,1,2026-08-06 12:45:47
PRG0422,OP032,TRN006,Not Started,0.0,0,
PRG0423,OP074,TRN005,Completed,85.8,1,2026-08-24 12:45:47
PRG0424,OP014,TRN006,In Progress,0.0,1,
PRG0425,OP090,TRN004,Completed,79.7,1,2026-07-26 12:45:47
PRG0426,OP029,TRN002,Not Started,0.0,0,
